Brand,SKU,Price
Burberry,0BE4144_300273_5418-FBA,91.8
Dolce & Gabbana,0DG2075_034_13_6313-FBA,104.4
Dolce & Gabbana,0DG2099_10818G_6111-FBA,113.4
Dolce & Gabbana,0DG4138_501_87_6214-FBA,112.5
Coach,0HC7003_90078H_5913,55.8
Coach,0HC7003_901011_5913,55.8
Coach,0HC7003_9010T3_5913,68.4
Coach,0HC7003_901295_5913,55.8
Coach,0HC7003_901313_5913,55.8
Coach,0HC7003_901413_5913,55.8
Coach,0HC7003_905113_5913,55.8
Coach,0HC7003_9051T5_5913-FBA,68.4
Coach,0HC7003_91258J_5913,68.4
Coach,0HC7003_91766E_5913,55.8
Prada,0PR09QS_1AB0A7_4926-FBA,164.35
Prada,0PR27NS_MAX0A5_5522,128.25
Prada,0PR27NS_ROL0A6_5522,128.25
Ray Ban,0RB2016_W2578_5917,48.3
Ray Ban,0RB2027_601_W1_6219-FBA,71.3
Ray Ban,0RB2132_902_5218-FBA,59.8
Ray Ban,0RB2132_902_58_5518,82.8
Ray Ban,0RB2176_990_5121-FBA,105.8
Ray Ban,0RB3016_901_58_4921-FBA,92
Ray Ban,0RB3025_001_51_5514-FBA,73.6
Ray Ban,0RB3025_001_58_5814-FBA-2,92
Ray Ban,0RB3025_003_3F_5514-FBA,73.6
Ray Ban,0RB3025_112_P9_5814-FBA,92
Ray Ban,0RB3183_004_9A_6315,75.9
Ray Ban,0RB3293_004_9A_6713-FBA,78.2
Ray Ban,0RB3342_004_51_6012-FBA,71.3
Ray Ban,0RB3362_001_51_5914,73.6
Ray Ban,0RB3386_001_13_6313-FBA,73.6
Ray Ban,0RB3386_001_13_6713-FBA-S,73.6
Ray Ban,0RB3386_003_8G_6313-FBA,73.6
Ray Ban,0RB3386_003_8G_6713-FBA,73.6
Ray Ban,0RB3386_004_71_6313,69
Ray Ban,0RB3386_004_71_6713-FBA,69
Ray Ban,0RB3386_004_9A_6713-FBA,85.1
Ray Ban,0RB3386_029_11_6313,73.6
Ray Ban,0RB3386_029_11_6713,73.6
Ray Ban,0RB3386_029_88_6313,73.6
Ray Ban,0RB3386_112_13_6313,73.6
Ray Ban,0RB3386_112_13_6713,73.6
Ray Ban,0RB3407_001_5814,69
Ray Ban,0RB3445_002_58_6117,92
Ray Ban,0RB3445_004_6117,69
Ray Ban,0RB3445_029_71_6117,73.6
Ray Ban,0RB3447_112_Z2_5021-FBA,78.2
Ray Ban,0RB3498_004_71_6117,73.6
Ray Ban,0RB4068_601_6017-FBA-S,59.8
Ray Ban,0RB4068_642_57_6017-FBA,82.8
Ray Ban,0RB4068_710_51_6017-FBA,64.4
Ray Ban,0RB4165_601_8G_5116-FBA-S,52.9
Ray Ban,0RB4171_865_13_5418-FBA-2,52.9
Ray Ban,0RX5121_2000_5022,63.36
Ray Ban,0RX5154_2000_4921-FBA,63.36
Ray Ban,0RX5154_2077_4921-FBA,63.36
Ray Ban,0RX5184_2000_5018,63.36
Ray Ban,0RX5184_2000_5218,63.36
Ray Ban,0RX5184_2012_5018,95.04
Chloe,CE100SL_752_6013,155.7
Celine,CE41053_S_005D_1E_4724,152.64
Celine,CE41053_S_0807_1E_4724,152.64
Celine,CE41755_S_0807_3H_5522,187.63
Celine,CE41755_S_0N8O_DB_5522,169.92
Celine,CE41801_S_005L_HY_5223,180.96
Celine,CE41801_S_0807_VI_5223,189.6
Chloe,CE600S_219_6014,124.2
Chloe,CE620S_003_5914,133.2
Chloe,CE637S_210_5817,133.2
Chloe,CE639SL_272_5915,178.2
Calvin Klein,CK2138S_001_5913,70.2
Calvin Klein,CK2138S_028_5913,70.2
Calvin Klein,CK3140S_001_5220,56.7
Calvin Klein,CK3156S_001_5416,61.2
Calvin Klein,CK4182S_379_5418,65.7
Calvin Klein,CK4219S_372_5218,70.2
Chloe,CL2119_210_5917,133.2
Kate Spade,KSAllyP_S_3YGP_VW_6015-FBA,70.5
Kate Spade,KSAllyP_S_YB7P_RA_6015,70.5
Kate Spade,KSAngelique_S_0EUT_Y6_5516,61.57
Kate Spade,KSAngelique_S_0JVC_Y6_5516,61.57
Kate Spade,KSAnnika_P_S_JEDP_RA_5615,70.5
Kate Spade,KSBriar_P_S_807P_RA_5616,70.5
Kate Spade,KSBriar_P_S_DV2P_VW_5616,70.5
Kate Spade,KSGayla_S_0ESP_Y6_5219,61.57
Kate Spade,KSPaxton_N_S_JEYP_VW_5316,61.57
Kate Spade,KSPaxton_N_S_X36P_RA_5316,61.57
Kate Spade,KSShawna_S_0086_Y6_5615,61.57
Kate Spade,KSShawna_S_0807_Y7_5615,61.57
Kate Spade,KSShawna_S_0FL5_XO_5615,61.57
Celine,CE41026_S_0FV7_DV_5816,172.32
Gucci,GG1008_0549_00_5514,105.6
Versace,0VE1175B_1002_5117,97.2
Versace,0VE1175B_1002_5317,97.2
Ray Ban,0RB2016_W2578_5917-FBA,48.3
MONTBLANC,MB456S_20D_63,190
MONTBLANC,MB461S_01A_58,148.2
MONTBLANC,MB461S_52B_58,148.2
MONTBLANC,MB465S_16R_64,172.9
